,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
10598,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7898,0,0,0,40,0,0,0,10,0,0,16,0,147,0,244,0,0,0,24,0,0,0,0,4,0,0,0,0,0,6,2,0,0,15,0,24,24,1,91,0,0,0,0
7248,0,18,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,128,24,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0
12487,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6152,0,0,0,32,0,0,0,16,0,0,6,0,59,0,141,0,0,0,13,0,0,0,0,4,0,0,0,0,0,8,0,0,0,11,0,10,2,0,42,0,0,0,0
5346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,1,0,0,0,0,0
638,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6787,1,0,0,17,0,9,0,0,0,100,0,24,78,8,0,265,0,0,0,0,0,1,0,0,4,3,1,0,15,0,2,0,0,0,0,0,0,0,32,16,0,264,132
573,2,0,18,0,0,0,0,0,0,1,0,0,0,8,0,0,0,157,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,129
7120,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1551,0,0,0,0,88,20,75,0,0,0,0,14,0,0,0,262,2,0,0,0,200,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
6235,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,21,0,19,40,0,20,75,10,0,0,16,0,147,10,0,0,2,0,0,2,0,0,3,0,0,0,1,0,0,0,2,0,2,0,0,24,0,0,91,0,0,0,0
848,21,0,19,40,0,0,0,10,0,99,16,0,147,10,0,0,0,0,0,2,0,0,3,0,4,0,1,0,8,0,2,0,0,0,0,24,0,0,91,10,0,0,132
10928,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,88,20,75,0,0,0,0,14,0,0,0,262,2,0,0,0,200,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
